,CM_M_CM_M_01_Breast,CM_M_CM_M_02_Breast,CR_M_CR_M_01_Breast,CR_M_CR_M_02_Breast,H_M_H_M_01_Breast,H_M_H_M_02_Breast
345,1.12023829754,1.0312474894,0.588884652873,1.8637258973,1.98174220446,1.58848915126
346,1.1472440656,1.05507411508,0.598398103074,1.89540202184,2.01881818534,1.6173881937
347,1.17364784393,1.0790776123,0.607606264983,1.93238368558,2.05231558639,1.64508905385
348,1.19748167473,1.09849352719,0.616670268322,1.97341722053,2.08911557876,1.67302538343
349,1.22370188869,1.11996855003,0.624785916406,2.00706536936,2.1221868619,1.70203486278
350,1.24632073607,1.14332656578,0.630908496362,2.03466802395,2.14851551075,1.73573907668
351,1.26593967889,1.16471508889,0.641476346651,2.06320285568,2.17858005,1.76522543393
352,1.28270905607,1.187460003,0.649684182607,2.09714855298,2.20751147518,1.78925146582
353,1.30506381529,1.21177375166,0.657778981252,2.13115541291,2.23530185105,1.81166004616
354,1.32681577619,1.23464850787,0.668660138005,2.16056631404,2.26210811532,1.83860198316
355,1.34759098969,1.25503495564,0.676430165753,2.18934002823,2.28986075862,1.86522519358
356,1.367054888,1.27496410048,0.685536277193,2.22131645886,2.31281511015,1.88813921613
357,1.3852858193,1.29444699433,0.695409727847,2.24721347586,2.33660590585,1.90773578225
358,1.40266985211,1.3134766795,0.7052354209,2.27107966739,2.35932600348,1.92590086338
359,1.41965093584,1.32947330236,0.715157400735,2.29293729843,2.37777710994,1.94756155096
360,1.43622016363,1.34807167047,0.722872636395,2.31223088439,2.39377768815,1.96846247704
361,1.45238466321,1.36622339552,0.732521901553,2.33334243393,2.41210807034,1.98569084833
362,1.46697446721,1.38393392064,0.740171691066,2.35219882267,2.4286191762,2.00490068286
363,1.48007058909,1.40083820938,0.747754608612,2.37211876747,2.443169235,2.02310097601
364,1.49564190444,1.4136858846,0.755308878187,2.38833308369,2.45842957756,2.0402473178
365,1.51167984123,1.42955351821,0.762845179794,2.40488366476,2.47144003162,2.05451175998
366,1.52810440208,1.44164033086,0.769901694656,2.42461175917,2.48707331612,2.06912321879
367,1.54632878974,1.45278968384,0.780342048227,2.43876736572,2.49677382796,2.0797189762
368,1.56081071979,1.47173144027,0.794180710898,2.44484632104,2.49779832976,2.08725103252
369,1.57430366047,1.48507032455,0.808414604453,2.4574206396,2.50069198522,2.09152581463
370,1.58709080502,1.49940722146,0.818384414235,2.46025517215,2.50160901769,2.1021762465
371,1.59495303711,1.51700498924,0.830290299754,2.46886884069,2.50157075421,2.10645422501
372,1.60031448292,1.52337315134,0.83994682994,2.47708307412,2.50080141344,2.10733214901
373,1.60883346789,1.53096544272,0.853900732922,2.48389018838,2.49866469048,2.1134547083
374,1.62027043223,1.54088186143,0.864997769987,2.48295966827,2.50108387897,2.12272111139
375,1.62493473417,1.55248123765,0.877389533475,2.48743034283,2.50730163608,2.126075393
376,1.63325586023,1.56166751331,0.889143238871,2.48783390787,2.49709871047,2.12938048803
377,1.64214129327,1.57272774559,0.898716811249,2.48738234536,2.49183594731,2.13189137563
378,1.64808366993,1.58298900633,0.908357901387,2.48365593088,2.48482986565,2.13032593157
379,1.65593688723,1.59520801867,0.917445218441,2.48288684747,2.47848700567,2.13118889737
380,1.66376435867,1.60573339145,0.925820497496,2.4798726314,2.47370275231,2.13944379592
381,1.67178977228,1.61516009918,0.933995578787,2.48013779248,2.46894050443,2.13358553116
382,1.67848663889,1.62149233038,0.94161404113,2.47972475741,2.46001413088,2.12908378441
383,1.68894492374,1.62213126547,0.947132465618,2.47643939353,2.445933812,2.12911883014
384,1.69117237988,1.62786524211,0.955927872833,2.47171114745,2.44252912381,2.12989441265
385,1.69548557815,1.62816935474,0.96524955885,2.46631397864,2.44167173599,2.12647786107
386,1.70232707787,1.63726157078,0.975289175824,2.46021630068,2.4332014984,2.12791862198
387,1.70303171235,1.63645866764,0.977312075362,2.45941423093,2.4257468682,2.1300711564
388,1.70836056456,1.64173437757,0.984262086741,2.45587361767,2.41890305205,2.12997907119
389,1.71395207092,1.64637405897,0.99178376033,2.45937139192,2.41425556553,2.12746481056
390,1.72175049553,1.65256080328,1.00080748839,2.45914357801,2.41129371809,2.12635725007
391,1.72657817658,1.65964529931,1.010806899,2.45545263841,2.40884472575,2.12800056259
392,1.72499721958,1.66729687688,1.01465414347,2.45281032301,2.40090558276,2.12932834491
393,1.72676207949,1.67511234086,1.01901591377,2.44736686548,2.39819173954,2.13040280539
394,1.73365177055,1.67720551201,1.02617054961,2.44239796587,2.39096283583,2.13433290073
395,1.73737020295,1.68291045826,1.02958215265,2.43581211805,2.38799294312,2.13461414572
396,1.74331211702,1.68755695387,1.03907678559,2.43334222266,2.38812510454,2.13885794707
397,1.75010018778,1.69156639116,1.04064464811,2.43390457285,2.38820724423,2.142094496
398,1.75310585838,1.69482594987,1.04610893991,2.43440834381,2.38945207701,2.14407153604
399,1.75987231095,1.6972087058,1.04975821785,2.43058779464,2.39356105592,2.14649390699
400,1.7648503484,1.70496516858,1.0532603213,2.42939317134,2.39093187809,2.15395867127
401,1.7697790358,1.71034045435,1.05813750098,2.4240282939,2.39383425542,2.16030436001
402,1.7778012606,1.71769635807,1.06062024743,2.42528983418,2.39184023377,2.16347121847
403,1.78536111983,1.72418845167,1.06491966808,2.42477801599,2.39682946181,2.16826612165
404,1.78851758511,1.73033939328,1.0698568083,2.4197770962,2.39485416172,2.17292488872
405,1.79110580672,1.73781899892,1.07279593119,2.42043673241,2.39917850628,2.17480127587
406,1.79545594317,1.74255375661,1.07766351109,2.41936085722,2.40386620872,2.17755189572
407,1.79905138325,1.74841184846,1.07792937218,2.42105794561,2.40486714554,2.18592526864
